YEAR,INTERSECTION_NAME,TOTAL_COLLISIONS,MINOR_INJURIES,MAJOR_INJURIES,FATALITIES,FOLLOWED_TOO_CLOSELY,STRUCK_PARKED_VEHICLE,IMPROPER_LANE_CHANGE,RAN_OFF_ROAD,FAILED_TO_YIELD_RIGHT_OF_WAY(NO_CONTROL),BACKED_UNSAFELY,LEFT_OF_CENTRE,LEFT_TURN_ACROSS_PATH,ANIMAL_ACTION,IMPROPER_TURN,STOP_SIGN_VIOLATION,OTHER,PEDESTRIAN_ERROR/VIOLATION,IMPROPER_PASSING,FAILED_TO_YIELD_TO_PEDESTRIAN,IMPROPER_LOADING,DRIVERLESS_VEHICLE,FAILED_TO_OBSERVE_TRAFFIC_SIGNAL,FAILED_TO_YIELD_TO_CYCLIST,SIGNED_FORCED_TURN_VIOLATION,CYCLST_ERROR/VIOLATION,OVERSIZE_VEHICLE,UNKNOWN,ONE_WAY_VIOLATION,YIELD_SIGN_VIOLATION,INANIMATE_OBJECT_ACTION,OPENED_DOOR_INTO_TRAFFIC,LATITUDE,LONGITUDE,LOCATION
2011,118 AVENUE & GROAT ROAD NW,35,4,0,0,15,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,53.5702867,-113.5493849,"(53.5702867, -113.5493849)"
2011,23 AVENUE & TERWILLEGAR DRIVE NBD NW,35,5,0,0,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53.4573000,-113.5882965,"(53.4573, -113.5882965)"
2011,ARGYLL ROAD & 75 STREET NW,35,7,0,0,19,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,53.5082715,-113.4428096,"(53.5082715, -113.4428096)"
2011,101 AVENUE & 50 STREET NW,34,8,1,0,20,0,0,0,0,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5411439,-113.4185536,"(53.5411439, -113.4185536)"
2011,118 AVENUE & 170 STREET NW,33,9,0,0,20,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,53.5704443,-113.6153066,"(53.5704443, -113.6153066)"
2011,167 AVENUE & 97 STREET NW,33,8,0,0,16,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,53.6288465,-113.4918670,"(53.6288465, -113.491867)"
2011,63 AVENUE & 99 STREET NW,33,4,0,0,23,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,53.4998738,-113.4862309,"(53.4998738, -113.4862309)"
2011,ROPER ROAD & 75 STREET NW,33,10,0,0,24,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.4926783,-113.4426752,"(53.4926783, -113.4426752)"
2011,137 AVENUE & 66 STREET NW,32,10,0,0,25,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.5996562,-113.4429352,"(53.5996562, -113.4429352)"
2011,51 AVENUE & 91 STREET NW,32,3,0,0,16,0,1,1,0,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,53.4881200,-113.4671688,"(53.48812, -113.4671688)"
